Order ID,Order Date,Customer ID,Category,Sub-Category,Product,Region,Quantity,Unit Price,Discount,Sales,Profit
ORD00001,2025-06-10,CUST0421,Electronics,Headphones,Headphones Product 8,East,4,98.28,0.1,353.81,26.12
ORD00002,2025-03-08,CUST0741,Accessories,Keyboards,Keyboards Product 7,East,4,59.68,0.05,226.78,32.13
ORD00003,2025-06-11,CUST0686,Furniture,Desks,Desks Product 7,South,3,34.52,0.05,98.38,7.9
ORD00004,2025-09-05,CUST0622,Office Supplies,Paper,Paper Product 7,North,4,38.76,0.2,124.03,25.88
ORD00005,2025-01-16,CUST0293,Furniture,Tables,Tables Product 8,South,3,78.91,0.1,213.06,43.45
ORD00006,2025-09-08,CUST0381,Furniture,Desks,Desks Product 3,North,2,90.05,0.0,180.1,19.09
ORD00007,2025-06-09,CUST0673,Office Supplies,Storage,Storage Product 4,West,5,85.89,0.15,365.03,74.27
ORD00008,2025-10-18,CUST0629,Furniture,Chairs,Chairs Product 7,East,4,69.78,0.0,279.12,22.74
ORD00009,2025-10-12,CUST0197,Furniture,Desks,Desks Product 1,South,2,44.45,0.05,84.45,8.06
ORD00010,2025-07-26,CUST0443,Office Supplies,Binders,Binders Product 1,East,3,20.21,0.1,54.57,9.93
ORD00011,2025-01-12,CUST0794,Accessories,Bags,Bags Product 7,North,4,44.68,0.0,178.72,28.9
ORD00012,2025-02-16,CUST0446,Electronics,Headphones,Headphones Product 5,West,1,83.36,0.0,83.36,17.7
ORD00013,2025-05-29,CUST0085,Accessories,Cables,Cables Product 1,West,3,81.2,0.0,243.6,20.59
ORD00014,2025-07-01,CUST0557,Office Supplies,Storage,Storage Product 4,South,3,44.47,0.05,126.74,12.42
ORD00015,2025-04-21,CUST0274,Electronics,Phones,Phones Product 1,South,2,57.29,0.0,114.58,11.17
ORD00016,2025-04-07,CUST0623,Accessories,Cables,Cables Product 3,East,5,33.5,0.0,167.5,45.87
ORD00017,2025-04-10,CUST0563,Accessories,Cables,Cables Product 2,East,4,32.54,0.15,110.64,14.79
ORD00018,2025-06-29,CUST0575,Furniture,Desks,Desks Product 6,South,3,41.01,0.15,104.58,20.31
ORD00019,2025-08-02,CUST0629,Furniture,Tables,Tables Product 1,North,1,51.65,0.0,51.65,8.43
ORD00020,2025-10-17,CUST0137,Furniture,Chairs,Chairs Product 3,West,2,76.09,0.0,152.18,30.06
ORD00021,2025-05-07,CUST0335,Accessories,Cables,Cables Product 4,South,3,91.18,0.0,273.54,74.32
ORD00022,2025-02-28,CUST0457,Accessories,Bags,Bags Product 5,South,1,220.94,0.05,209.89,53.54
ORD00023,2025-05-02,CUST0291,Accessories,Bags,Bags Product 7,North,5,46.06,0.05,218.78,15.71
ORD00024,2025-02-13,CUST0225,Accessories,Cables,Cables Product 2,East,1,30.78,0.0,30.78,6.6
ORD00025,2025-10-08,CUST0189,Office Supplies,Storage,Storage Product 1,North,5,114.29,0.15,485.73,43.01
ORD00026,2025-03-15,CUST0762,Office Supplies,Binders,Binders Product 6,South,2,35.38,0.15,60.15,6.37
ORD00027,2025-04-04,CUST0239,Office Supplies,Binders,Binders Product 4,West,5,39.42,0.0,197.1,17.54
ORD00028,2025-02-12,CUST0415,Accessories,Bags,Bags Product 4,South,5,168.41,0.15,715.74,158.31
ORD00029,2025-08-30,CUST0304,Electronics,Headphones,Headphones Product 3,North,2,123.85,0.0,247.7,56.81
ORD00030,2025-09-30,CUST0144,Accessories,Keyboards,Keyboards Product 3,East,2,176.46,0.15,299.98,21.95
ORD00031,2025-03-13,CUST0399,Office Supplies,Storage,Storage Product 5,South,1,33.73,0.1,30.36,7.57
ORD00032,2025-12-20,CUST0098,Electronics,Headphones,Headphones Product 3,East,1,150.64,0.0,150.64,32.47
ORD00033,2025-08-01,CUST0068,Accessories,Keyboards,Keyboards Product 6,West,4,34.1,0.15,115.94,21.52
ORD00034,2025-02-18,CUST0391,Electronics,Phones,Phones Product 5,East,1,82.89,0.0,82.89,11.62
ORD00035,2025-04-15,CUST0119,Furniture,Desks,Desks Product 6,West,3,38.38,0.0,115.14,22.0
ORD00036,2025-03-08,CUST0746,Electronics,Headphones,Headphones Product 6,West,1,69.99,0.2,55.99,8.35
ORD00037,2025-10-14,CUST0201,Furniture,Tables,Tables Product 7,South,4,74.08,0.0,296.32,72.86
ORD00038,2025-04-16,CUST0330,Electronics,Phones,Phones Product 1,South,3,30.25,0.15,77.14,12.58
ORD00039,2025-08-26,CUST0215,Accessories,Cables,Cables Product 2,West,1,19.25,0.05,18.29,2.14
ORD00040,2025-05-11,CUST0117,Office Supplies,Storage,Storage Product 2,West,5,398.73,0.0,1993.65,396.51
ORD00041,2025-02-22,CUST0462,Furniture,Chairs,Chairs Product 2,South,5,100.01,0.0,500.05,68.48
ORD00042,2025-06-06,CUST0473,Electronics,Phones,Phones Product 5,East,1,50.75,0.0,50.75,4.6
ORD00043,2025-04-27,CUST0429,Accessories,Cables,Cables Product 1,South,5,62.46,0.15,265.45,56.47
ORD00044,2025-04-14,CUST0040,Electronics,Headphones,Headphones Product 1,South,2,235.23,0.05,446.94,67.38
ORD00045,2025-02-07,CUST0551,Accessories,Cables,Cables Product 1,West,5,130.88,0.0,654.4,173.4
ORD00046,2025-08-18,CUST0514,Accessories,Keyboards,Keyboards Product 5,West,5,29.32,0.15,124.61,24.72
ORD00047,2025-07-15,CUST0627,Office Supplies,Paper,Paper Product 4,East,5,66.63,0.15,283.18,38.25
ORD00048,2025-08-09,CUST0186,Office Supplies,Paper,Paper Product 3,South,2,47.38,0.05,90.02,13.58
ORD00049,2025-04-30,CUST0634,Office Supplies,Binders,Binders Product 8,East,4,57.98,0.1,208.73,23.87
ORD00050,2025-06-28,CUST0522,Accessories,Keyboards,Keyboards Product 2,West,3,129.71,0.05,369.67,87.69
ORD00051,2025-08-20,CUST0478,Office Supplies,Binders,Binders Product 6,East,4,38.35,0.1,138.06,13.18
ORD00052,2025-07-31,CUST0068,Accessories,Keyboards,Keyboards Product 5,West,1,129.19,0.0,129.19,29.09
ORD00053,2025-12-16,CUST0797,Office Supplies,Paper,Paper Product 7,West,5,43.08,0.05,204.63,45.84
ORD00054,2025-03-03,CUST0137,Accessories,Bags,Bags Product 2,East,2,27.36,0.0,54.72,11.12
ORD00055,2025-06-20,CUST0414,Electronics,Phones,Phones Product 4,North,3,73.54,0.1,198.56,42.66
ORD00056,2025-06-28,CUST0526,Office Supplies,Paper,Paper Product 6,South,5,88.6,0.0,443.0,43.21
ORD00057,2025-09-02,CUST0507,Accessories,Keyboards,Keyboards Product 3,West,2,120.84,0.15,205.43,40.06
ORD00058,2025-07-22,CUST0350,Furniture,Tables,Tables Product 6,South,2,54.65,0.0,109.3,29.21
ORD00059,2025-07-21,CUST0112,Electronics,Headphones,Headphones Product 4,East,1,35.36,0.15,30.06,4.16
ORD00060,2025-11-17,CUST0510,Accessories,Bags,Bags Product 1,North,4,104.29,0.0,417.16,104.33
ORD00061,2025-09-08,CUST0345,Furniture,Tables,Tables Product 3,West,1,64.72,0.05,61.48,14.3
ORD00062,2025-07-18,CUST0089,Furniture,Chairs,Chairs Product 4,West,3,80.3,0.15,204.76,40.7
ORD00063,2025-04-14,CUST0020,Electronics,Headphones,Headphones Product 6,North,4,81.34,0.0,325.36,91.04
ORD00064,2025-06-15,CUST0115,Office Supplies,Binders,Binders Product 7,West,1,70.03,0.0,70.03,8.98
ORD00065,2025-11-29,CUST0125,Accessories,Bags,Bags Product 1,West,1,84.67,0.0,84.67,6.87
ORD00066,2025-09-02,CUST0640,Office Supplies,Storage,Storage Product 8,West,5,23.02,0.15,97.83,5.28
